sexo;IdadeAtual;Servidor;AnoAposenta;tempo
M;68;TA;2.022,00;50
M;67;TA;2.023,00;35
F;64;D;2.023,00;33
F;58;TA;2.020,00;38
M;65;TA;2.022,00;46
M;58;TA;2.020,00;36
F;58;TA;2.020,00;30
M;61;TA;2.023,00;32
M;72;TA;2.021,00;47
M;60;TA;2.023,00;39
M;60;TA;2.022,00;39
M;65;TA;2.021,00;40
M;67;TA;2.023,00;47
M;61;TA;2.022,00;40
M;61;D;2.019,00;38
M;71;TA;2.024,00;49
M;73;D;2.023,00;47
M;60;D;2.023,00;38
F;65;D;2.022,00;30
F;55;EBTT;2.022,00;27
M;60;TA;2.023,00;35
M;61;D;2.023,00;37
F;62;D;2.022,00;34
M;66;EBTT;2.020,00;40
F;67;D;2.021,00;34
M;59;TA;2.020,00;38
M;59;TA;2.022,00;36
M;60;TA;2.021,00;36
M;73;TA;2.022,00;41
M;75;TA;2.022,00;41
F;64;TA;2.022,00;43
M;62;TA;2.022,00;43
M;65;TA;2.024,00;37
F;58;TA;2.022,00;32
M;64;TA;2.022,00;41
F;67;TA;2.022,00;47
F;74;TA;2.023,00;54
M;61;TA;2.022,00;36
M;65;TA;2.020,00;40
M;57;TA;2.022,00;37
M;68;TA;2.020,00;47
M;64;TA;2.022,00;29
M;69;D;2.024,00;36
M;62;TA;2.020,00;41
